Week #	Word	SAT Importance	Part of Speech	Definition (EN)	Chinese Meaning	Example Sentence	Collocations	Synonym	Antonym	Word Family	Common Trap
Week 4	recur	Core	verb	to happen again repeatedly	再次發生；反覆出現	The pattern tends to recur in similar environments.	recur over time	repeat	stop	recurring (adj)	Common in scientific and analytical writing.
Week 4	disillusioned	Common	adjective	disappointed because reality is worse than expected	幻滅的；失望的	Many voters became disillusioned with the political system.	disillusioned with	disappointed	hopeful	disillusionment (n)	Often used in political or social contexts.
Week 4	exacerbated	Core	verb	made a problem worse	使惡化；加劇	The policy exacerbated existing economic inequality.	exacerbate tensions	alleviate	improve	exacerbate (v)	Common in discussions of worsening problems.
Week 4	quell	Core	verb	to suppress or put an end to something	鎮壓；平息	The government acted quickly to quell the protests.	quell unrest	suppress	encourage	—	Often used in political or historical contexts.
Week 4	indubitably	Common	adverb	without doubt; unquestionably	毫無疑問地	The scientist was indubitably one of the most influential thinkers of the era.	indubitably true	certainly	doubtfully	—	Very formal adverb meaning “without doubt.”
Week 4	protagonist	Common	noun	the main character in a story	主角	The novel’s protagonist struggles to find his identity.	story protagonist	main character	antagonist	—	Common in literature analysis.
Week 4	indolent	Common	adjective	lazy or avoiding work	懶惰的；懶散的	The author criticized the indolent aristocracy.	indolent lifestyle	lazy	diligent	indolence (n)	Often used in literary contexts.
Week 4	affluence	Common	noun	the state of having a great deal of wealth	富裕；富足	The region experienced a period of economic affluence.	economic affluence	wealth	poverty	affluent (adj)	Common in sociology or economic discussions.
Week 4	imprudent	Common	adjective	not showing good judgment; unwise	不明智的；輕率的	The investor made several imprudent decisions.	imprudent decision	wise	prudent	imprudence (n)	Implies poor judgment.
Week 4	lethargic	Common	adjective	lacking energy or enthusiasm	昏昏欲睡的；無精打采的	The patient appeared lethargic after the illness.	lethargic response	sluggish	energetic	lethargy (n)	Common in medical or descriptive contexts.
Week 4	relegate	Core	verb	to assign something to a lower position or rank	降級；使處於次要地位	The discovery relegated earlier theories to obscurity.	relegate to	demote	promote	—	Often implies being pushed to a lesser status.
Week 4	annals	Common	noun	historical records or chronicles	史冊；編年史	The event secured a place in the annals of history.	annals of history	records	forgetfulness	—	Often used in historical contexts.
Week 4	peril	Common	noun	serious danger or risk	危險；險境	The explorers faced great peril during the journey.	in peril	danger	safety	perilous (adj)	Common in narratives of risk or danger.
Week 4	obsolete	Core	adjective	no longer used because something newer has replaced it	過時的；淘汰的	The invention rendered older technologies obsolete.	obsolete technology	outdated	modern	obsolescence (n)	Common in discussions of technological change.
Week 4	facile	Core	adjective	simplistic and lacking depth	膚淺的；過於簡單的	The critic dismissed the explanation as a facile argument.	facile explanation	superficial	profound	facility (n)	Often used to criticize overly simple reasoning.
Week 4	epidemic	Common	noun/adj	a widespread occurrence of disease or problem	流行病；迅速蔓延的	The country struggled to contain the epidemic.	epidemic disease	outbreak	control	—	Can also describe widespread social problems.
Week 4	acquiescent	Common	adjective	accepting something without protest	默許的；順從的	The workers remained acquiescent despite unfair policies.	acquiescent attitude	compliant	resistant	acquiesce (v)	Implies passive acceptance.
Week 4	repugnance	Common	noun	intense disgust or strong dislike	厭惡；反感	Many readers felt repugnance toward the cruel practices described.	moral repugnance	disgust	approval	repugnant (adj)	Often refers to moral disgust.
Week 4	dreary	Common	adjective	dull, bleak, or depressing	沉悶的；陰鬱的	The dreary weather lasted for weeks.	dreary day	bleak	cheerful	—	Often used in descriptive writing.
Week 4	hideous	Common	adjective	extremely ugly or unpleasant	可怕的；醜陋的	The crime was described as a hideous act.	hideous crime	terrible	beautiful	hideously (adv)	Often expresses strong disgust.
Week 4	calamity	Common	noun	a serious disaster or catastrophe	災難；大禍	The earthquake was a national calamity.	natural calamity	disaster	stability	calamitous (adj)	Common in historical or disaster contexts.
Week 4	languished	Common	verb	became weak, neglected, or declined	衰弱；被忽視	The industry languished during the recession.	languish for years	flourish	thrived	languish (v)	Often describes decline or neglect.
Week 4	torments	Common	noun/verb	severe physical or mental suffering	折磨；痛苦	The character struggled with inner torments.	mental torment	peace	comfort	torment (v/n)	Common in literary contexts.
Week 4	immense	Common	adjective	extremely large or great	巨大的；極大的	The discovery had immense scientific significance.	immense influence	huge	tiny	immensity (n)	Common descriptive word in academic writing.
Week 4	cultivated	Common	adjective	developed or refined through effort or education	有修養的；培養出的	She developed a cultivated appreciation for classical music.	cultivated taste	refined	uncultured	cultivate (v)	Can mean farming land or developing skills or qualities.
Week 4	requisite	Core	adjective	required or necessary	必要的；必需的	The position requires the requisite qualifications.	requisite skills	necessary	unnecessary	requisite (n)	Common in academic and professional contexts.
Week 4	procured	Common	verb	obtained or acquired something	獲得；取得	The researchers procured the necessary equipment.	procure resources	obtain	lose	procure (v)	Formal word meaning to obtain.
Week 4	vestige	Common	noun	a small remaining part of something that once existed	遺跡；殘餘	The ruins are a vestige of the ancient civilization.	vestige of	remnant	totality	—	Often used in historical contexts.
Week 4	scarcely	Common	adverb	barely; almost not	幾乎不；勉強	The object was scarcely visible in the darkness.	scarcely noticeable	barely	clearly	—	Often used to indicate minimal amount.
Week 4	serenity	Common	noun	a state of calmness or peace	寧靜；平和	The lake reflected the serenity of the surrounding landscape.	serenity of mind	calm	turmoil	serene (adj)	Common in descriptive or reflective contexts.
Week 4	barren	Common	adjective	unable to produce vegetation or results	貧瘠的；無成果的	The explorers crossed a barren desert.	barren land	fertile	productive	barrenness (n)	Can also be used metaphorically.
Week 4	allude	Core	verb	to refer to something indirectly	暗示；間接提到	The speech alluded to historical events without naming them directly.	allude to	refer	ignore	allusion (n)	Common in literature and rhetorical analysis.
Week 5	analogous	Core	adjective	similar in some ways, allowing comparison	類似的	The two systems are analogous in structure.	analogous to	similar	different	analogy (n)	Common in science and reasoning.
Week 5	prodigious	Common	adjective	remarkably large or impressive	驚人的；巨大的	The young musician showed prodigious talent.	prodigious ability	remarkable	ordinary	—	Often used to describe impressive ability.
Week 5	scourge	Common	noun	a source of great suffering or harm	禍害；災難	Disease remained a scourge in many regions.	scourge of society	plague	benefit	—	Often used metaphorically.
Week 5	advent	Common	noun	the arrival or beginning of something	出現；來臨	The advent of the internet transformed communication.	advent of	arrival	end	—	Common in academic writing.
Week 5	vengeance	Common	noun	punishment inflicted in return for harm	報復；復仇	He sought vengeance for the injustice.	seek vengeance	forgiveness	peace	—	Often used in narrative or historical contexts.
Week 5	carcinogenic	Occasional	adjective	capable of causing cancer	致癌的	Researchers studied carcinogenic chemicals in the environment.	carcinogenic substances	harmless	safe	—	Common in health-related texts.
Week 5	auspicious	Common	adjective	favorable or indicating success	吉利的；有利的	The project had an auspicious start.	auspicious beginning	favorable	unfavorable	—	Often used in formal or historical contexts.
Week 5	nomenclature	Common	noun	a system of naming	命名法	The scientist explained the nomenclature of the species.	scientific nomenclature	naming	system	—	Common in science and classification contexts.
Week 5	permissive	Common	adjective	allowing freedom or lenient	寬鬆的；放任的	The school adopted a more permissive policy.	permissive attitude	strict	restrictive	—	Often used in social or educational contexts.
Week 5	luminescence	Occasional	noun	the emission of light without heat	發光現象	The organism produces luminescence in the dark.	bioluminescence	light	darkness	luminescent (adj)	Common in scientific contexts.
Week 5	curtail	Core	verb	to reduce or limit something	縮減；限制	The government moved to curtail spending.	curtail growth	limit	expand	—	Common in policy and economic contexts.
Week 5	opulence	Common	noun	great wealth or luxury	富裕；奢華	The palace reflected the opulence of the era.	display opulence	wealth	poverty	opulent (adj)	Common in historical and social descriptions.
Week 5	demise	Common	noun	the end or death of something	終結；死亡	The policy led to the demise of the program.	demise of	end	beginning	—	Often used for institutions or systems.
Week 5	sensuous	Common	adjective	relating to physical pleasure or the senses	感官的；感性的	The poem is rich in sensuous imagery.	sensuous detail	physical	spiritual	—	Used mainly in literary contexts.
Week 5	chide	Common	verb	to scold or criticize mildly	責備；斥責	The manager chided the employee for the mistake.	chide someone	praise	compliment	—	Often implies mild criticism.
Week 5	meticulous	Common	adjective	showing great attention to detail	一絲不苟的；細心的	The scientist conducted meticulous experiments.	meticulous work	careless	sloppy	—	Often used in academic contexts.
Week 5	trivial	Common	adjective	of little importance	瑣碎的；不重要的	The debate focused on trivial matters.	trivial issue	significant	important	—	Often contrasted with important issues.
Week 5	hamper	Core	verb	to hinder or obstruct progress	阻礙；妨礙	The lack of resources hampered development.	hamper progress	facilitate	support	—	Common in academic writing.
Week 5	depose	Common	verb	to remove from power	罷免；廢黜	The king was deposed after the uprising.	depose a ruler	elect	appoint	—	Common in historical contexts.
Week 5	grandeur	Common	noun	magnificence or greatness	宏偉；壯麗	The architecture reflected the grandeur of the empire.	grandeur of greatness	splendor	plainness	—	Used in descriptive or historical contexts.
Week 5	placid	Common	adjective	calm and peaceful	平靜的；溫和的	The lake remained placid despite the wind.	placid expression	calm	turbulent	placidity (n)	Often used in descriptive contexts.
Week 5	sluggish	Common	adjective	slow-moving or lacking energy	遲緩的；無精打采的	The economy showed sluggish growth.	sluggish response	fast	active	—	Used in economic or descriptive contexts.
Week 5	engender	Core	verb	to cause or bring about	產生；引起	The reforms engendered public trust.	engender support	create	prevent	—	Common in academic writing.
Week 5	rescind	Core	verb	to officially cancel or revoke	撤銷；廢除	The government decided to rescind the policy.	rescind a law	implement	enforce	—	Used in legal or official contexts.
